n,semilla,seleccion,maximo,acierto
1000,43,40,1000,NO
1000,44,419,1000,NO
1000,45,1000,1000,SI
1000,46,910,1000,NO
1000,47,1000,1000,SI
1000,48,1000,1000,SI
1000,49,69,1000,NO
1000,50,1000,1000,SI
1000,51,250,1000,NO
1000,52,1000,1000,SI
1000,53,1000,1000,SI
1000,54,936,1000,NO
1000,55,1000,1000,SI
1000,56,990,1000,NO
1000,57,995,1000,NO
1000,58,1000,1000,SI
1000,59,1000,1000,SI
1000,60,999,1000,NO
1000,61,999,1000,NO
1000,62,951,1000,NO
1000,63,994,1000,NO
1000,64,1000,1000,SI
1000,65,1000,1000,SI
1000,66,1000,1000,SI
1000,67,999,1000,NO
1000,68,760,1000,NO
1000,69,1000,1000,SI
1000,70,932,1000,NO
1000,71,332,1000,NO
1000,72,1000,1000,SI
1000,73,287,1000,NO
1000,74,1000,1000,SI
1000,75,462,1000,NO
1000,76,999,1000,NO
1000,77,819,1000,NO
1000,78,835,1000,NO
1000,79,149,1000,NO
1000,80,999,1000,NO
1000,81,997,1000,NO
1000,82,149,1000,NO
1000,83,509,1000,NO
1000,84,999,1000,NO
1000,85,205,1000,NO
1000,86,811,1000,NO
1000,87,998,1000,NO
1000,88,1000,1000,SI
1000,89,84,1000,NO
1000,90,209,1000,NO
1000,91,1000,1000,SI
1000,92,432,1000,NO
1000,93,1000,1000,SI
1000,94,1000,1000,SI
1000,95,1000,1000,SI
1000,96,380,1000,NO
1000,97,200,1000,NO
1000,98,365,1000,NO
1000,99,1000,1000,SI
5000,0,4999,5000,NO
5000,1,1101,5000,NO
5000,2,464,5000,NO
5000,3,1950,5000,NO
5000,4,4999,5000,NO
5000,5,5000,5000,SI
5000,6,5000,5000,SI
5000,7,5000,5000,SI
5000,8,4998,5000,NO
5000,9,5000,5000,SI
5000,10,5000,5000,SI
5000,11,3706,5000,NO
5000,12,5000,5000,SI
5000,13,4999,5000,NO
5000,14,876,5000,NO
5000,15,5000,5000,SI
5000,16,2962,5000,NO
5000,17,5000,5000,SI
5000,18,1485,5000,NO
5000,19,355,5000,NO
5000,20,1239,5000,NO
5000,21,1352,5000,NO
5000,22,5000,5000,SI
5000,23,2375,5000,NO
5000,24,5000,5000,SI
5000,25,5000,5000,SI
5000,26,4999,5000,NO
5000,27,3932,5000,NO
5000,28,926,5000,NO
5000,29,5000,5000,SI
5000,30,4417,5000,NO
5000,31,101,5000,NO
5000,32,4996,5000,NO
5000,33,4997,5000,NO
5000,34,5000,5000,SI
5000,35,5000,5000,SI
5000,36,2693,5000,NO
5000,37,4979,5000,NO
5000,38,3450,5000,NO
5000,39,1720,5000,NO
5000,40,4999,5000,NO
5000,41,3122,5000,NO
5000,42,913,5000,NO
5000,43,4998,5000,NO
5000,44,3347,5000,NO
5000,45,2228,5000,NO
5000,46,626,5000,NO
5000,47,2883,5000,NO
5000,48,5000,5000,SI
5000,49,548,5000,NO
5000,50,5000,5000,SI
5000,51,4999,5000,NO
5000,52,5000,5000,SI
5000,53,1770,5000,NO
5000,54,1127,5000,NO
5000,55,741,5000,NO
5000,56,5000,5000,SI
5000,57,4999,5000,NO
5000,58,4758,5000,NO
5000,59,5000,5000,SI
5000,60,2522,5000,NO
5000,61,4051,5000,NO
5000,62,5000,5000,SI
5000,63,5000,5000,SI
5000,64,3901,5000,NO
5000,65,3398,5000,NO
5000,66,5000,5000,SI
5000,67,613,5000,NO
5000,68,3821,5000,NO
5000,69,4998,5000,NO
5000,70,971,5000,NO
5000,71,5000,5000,SI
5000,72,5000,5000,SI
5000,73,5000,5000,SI
5000,74,4222,5000,NO
5000,75,3694,5000,NO
5000,76,4998,5000,NO
5000,77,2071,5000,NO
5000,78,1538,5000,NO
5000,79,4999,5000,NO
5000,80,5000,5000,SI
5000,81,4145,5000,NO
5000,82,1186,5000,NO
5000,83,4065,5000,NO
5000,84,2324,5000,NO
5000,85,5000,5000,SI
5000,86,255,5000,NO
5000,87,5000,5000,SI
5000,88,3257,5000,NO
5000,89,665,5000,NO
5000,90,4999,5000,NO
5000,91,5000,5000,SI
5000,92,5000,5000,SI
5000,93,5000,5000,SI
5000,94,5000,5000,SI
5000,95,5000,5000,SI
5000,96,5000,5000,SI
5000,97,1594,5000,NO
5000,98,5000,5000,SI
5000,99,3310,5000,NO
10000,0,6312,10000,NO
10000,1,9998,10000,NO
10000,2,10000,10000,SI
10000,3,9995,10000,NO
10000,4,9999,10000,NO
10000,5,4186,10000,NO
10000,6,9402,10000,NO
10000,7,10000,10000,SI
10000,8,3715,10000,NO
10000,9,10000,10000,SI
10000,10,9362,10000,NO
10000,11,7412,10000,NO
10000,12,10000,10000,SI
10000,13,10000,10000,SI
10000,14,1751,10000,NO
10000,15,10000,10000,SI
10000,16,5924,10000,NO
10000,17,10000,10000,SI
10000,18,2970,10000,NO
10000,19,709,10000,NO
10000,20,9997,10000,NO
10000,21,2703,10000,NO
10000,22,10000,10000,SI
10000,23,9998,10000,NO
10000,24,6273,10000,NO
10000,25,10000,10000,SI
10000,26,3322,10000,NO
10000,27,7863,10000,NO
10000,28,1851,10000,NO
10000,29,8981,10000,NO
10000,30,9999,10000,NO
10000,31,202,10000,NO
10000,32,1269,10000,NO
10000,33,9345,10000,NO
10000,34,10000,10000,SI
10000,35,8990,10000,NO
